Earliest Specimen Collection Date,County,Total Cases,Confirmed Cases,Probable Cases,Total Cases (7-Day Average),7-Day Case Count,7-Day Case Rate,14-Day Case Count,14-Day Case Rate,Date/Time Updated
2020-01-16 00:00:00,Statewide,0,0,0,0,0,0,0,0,2022-04-25 11:31:57
2020-01-17 00:00:00,Statewide,1,0,1,0.14,1,0.01,1,0.01,2022-04-25 11:31:57
2020-01-18 00:00:00,Statewide,1,0,1,0.29,2,0.03,2,0.03,2022-04-25 11:31:57
2020-01-19 00:00:00,Statewide,2,1,1,0.57,4,0.05,4,0.05,2022-04-25 11:31:57
2020-01-20 00:00:00,Statewide,0,0,0,0.57,4,0.05,4,0.05,2022-04-25 11:31:57
2020-01-21 00:00:00,Statewide,1,0,1,0.71,5,0.07,5,0.07,2022-04-25 11:31:57
2020-01-22 00:00:00,Statewide,0,0,0,0.71,5,0.07,5,0.07,2022-04-25 11:31:57
2020-01-23 00:00:00,Statewide,0,0,0,0.71,5,0.07,5,0.07,2022-04-25 11:31:57
2020-01-24 00:00:00,Statewide,1,1,0,0.71,5,0.07,6,0.08,2022-04-25 11:31:57
2020-01-25 00:00:00,Statewide,0,0,0,0.57,4,0.05,6,0.08,2022-04-25 11:31:57
2020-01-26 00:00:00,Statewide,1,1,0,0.43,3,0.04,7,0.09,2022-04-25 11:31:57
2020-01-27 00:00:00,Statewide,0,0,0,0.43,3,0.04,7,0.09,2022-04-25 11:31:57
2020-01-28 00:00:00,Statewide,0,0,0,0.29,2,0.03,7,0.09,2022-04-25 11:31:57
2020-01-29 00:00:00,Statewide,0,0,0,0.29,2,0.03,7,0.09,2022-04-25 11:31:57
2020-01-30 00:00:00,Statewide,1,0,1,0.43,3,0.04,8,0.1,2022-04-25 11:31:57
2020-01-31 00:00:00,Statewide,0,0,0,0.29,2,0.03,7,0.09,2022-04-25 11:31:57
2020-02-01 00:00:00,Statewide,1,1,0,0.43,3,0.04,7,0.09,2022-04-25 11:31:57
2020-02-02 00:00:00,Statewide,1,1,0,0.43,3,0.04,6,0.08,2022-04-25 11:31:57
2020-02-03 00:00:00,Statewide,0,0,0,0.43,3,0.04,6,0.08,2022-04-25 11:31:57
2020-02-04 00:00:00,Statewide,0,0,0,0.43,3,0.04,5,0.07,2022-04-25 11:31:57
2020-02-05 00:00:00,Statewide,0,0,0,0.43,3,0.04,5,0.07,2022-04-25 11:31:57
2020-02-06 00:00:00,Statewide,1,0,1,0.43,3,0.04,6,0.08,2022-04-25 11:31:57
2020-02-07 00:00:00,Statewide,0,0,0,0.43,3,0.04,5,0.07,2022-04-25 11:31:57
2020-02-08 00:00:00,Statewide,0,0,0,0.29,2,0.03,5,0.07,2022-04-25 11:31:57
2020-02-09 00:00:00,Statewide,0,0,0,0.14,1,0.01,4,0.05,2022-04-25 11:31:57
2020-02-10 00:00:00,Statewide,0,0,0,0.14,1,0.01,4,0.05,2022-04-25 11:31:57
2020-02-11 00:00:00,Statewide,0,0,0,0.14,1,0.01,4,0.05,2022-04-25 11:31:57
2020-02-12 00:00:00,Statewide,1,1,0,0.29,2,0.03,5,0.07,2022-04-25 11:31:57
2020-02-13 00:00:00,Statewide,0,0,0,0.14,1,0.01,4,0.05,2022-04-25 11:31:57
2020-02-14 00:00:00,Statewide,0,0,0,0.14,1,0.01,4,0.05,2022-04-25 11:31:57
2020-02-15 00:00:00,Statewide,0,0,0,0.14,1,0.01,3,0.04,2022-04-25 11:31:57
2020-02-16 00:00:00,Statewide,0,0,0,0.14,1,0.01,2,0.03,2022-04-25 11:31:57
2020-02-17 00:00:00,Statewide,0,0,0,0.14,1,0.01,2,0.03,2022-04-25 11:31:57
